Date,Affected pages
2026-03-07,0
2026-03-08,183
2026-03-09,183
2026-03-10,183
2026-03-11,183
2026-03-12,183
2026-03-13,183
2026-03-14,183
2026-03-15,183
2026-03-16,183
2026-03-17,183
