office_id,hitl_id,constituency,county,triage,status,proposed_lat,proposed_lng,final_lat,final_lng,method,confidence,pip_verified,cluster_peers,notes,applied
45,b492bdcd-7e52-4c8d-87ec-bc3206e279fd,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
46,fa76845b-4636-47f0-99bf-74121110052c,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
47,d50183f8-e18d-4dd9-94f7-b003b06c1b8f,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
48,c0238163-7519-4b96-8c6b-a7c31b01d453,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
49,749d6ce1-9cc1-4b5d-836b-5edb8c018902,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
50,1c272854-35ee-4a56-bfce-59db90d88989,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
51,a7ac4eee-9d04-4c58-9ad9-87696a273d99,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
52,da2e74bd-7d9a-4a70-a3e2-c4fb5055f994,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
53,42b57820-028b-4a62-9e8d-ecb4303a164d,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
54,541446d6-1d4c-4615-9a00-de2fedb2cc04,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
55,4937f8cb-eeec-43d6-8b03-7a94a8f79e7c,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
56,aa028b0b-abb2-496b-8ecc-ebf164f4dd7a,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
57,4862aeab-a448-4513-9c81-b57e75b5e47f,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
58,f66f0217-d073-404b-ba39-3b89383045dd,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
59,34142b35-7e64-4dd3-a897-04cafe7dc0e5,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
60,40eb6ea5-e429-4d4a-9e86-b8f76b2c12ed,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
61,f164f879-5f55-4a46-9a65-2fd78dc83c3d,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
62,d7f4eba3-b64b-4f51-95f0-5b637bdb7653,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
63,83527782-f7a9-4cae-8b1d-03440534e430,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
64,3af9b4fe-d651-447f-b776-1c032c33b589,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
