county,constituency_name,constituency,office_location,clean_office_location,landmark,source,created_at
Marsabit,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Moyale ACK Moyale. St. Paul Training Center Within the Compound,Moyale ACK Moyale. St. Paul Training Center Within the Compound,North Horr Nyota Self Help Group North Horr Adjacent to AP Camp 300 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.226806
Isiolo,,,Mission Compound,Mission Compound,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.229266
Meru,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Buuri Timau DCC Buuri West Office Sharing Building,Buuri Timau DCC Buuri West Office Sharing Building,Igembe Central Kangeta DCC Office 100 Meters,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.229266
Meru,,,Igembe South Maua Town Maua Police Station 150 Meters,Igembe South Maua Town Maua Police Station 150 Meters,Central Imenti Gatimbi Market Equator Signpost 800 Meters,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.230783
Tharaka-Nithi,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,"Maara DCC Compound, Kienganguru DCC Compound 100 Metres","Maara DCC Compound, Kienganguru DCC Compound 100 Metres","Chuka/ Igambang'ombe Chuka Town, Sub County Office Compound Opposite Trans National Bank 200 Metres",IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.231368
Embu,,,Mbeere South Kiritiri Town DCC Offices - Mbeere East Subcounty 200 Metres,Mbeere South Kiritiri Town DCC Offices - Mbeere East Subcounty 200 Metres,Mbeere North DCC Compound Mbeere North Subcounty DCC Offices 15 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.234443
Kitui,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Mwingi North Kyuso Town Behind Equity Bank 200 ft,Mwingi North Kyuso Town Behind Equity Bank 200 ft,Mwingi West Migwani market - inside DCC Office Complex Baraza Park 30 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.234443
Kitui,,,Kafoca Hotel,Kafoca Hotel,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.239497
Machakos,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Masinga Masinga Town Opposite MULKAS petrol,Masinga Masinga Town Opposite MULKAS petrol,Yatta National Cereals and Produce Board,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.242463
Machakos,,,"Department of Education, Skills &Trainning","Department of Education, Skills &Trainning","office, Mwatu wa Ngoma Street",IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.243756
Makueni,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Mbooni Tawa Social Hall Tawa Law Courts 80 Metres,Mbooni Tawa Social Hall Tawa Law Courts 80 Metres,Kilome Kwa DC (Malili) Konza City (Malili) 1 km (along NBI-MSA Highway),IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.244310
Makueni,,,Kibwezi West Makindu Town DCCs Office Same compound,Kibwezi West Makindu Town DCCs Office Same compound,Kibwezi East Kambu Lutheran Church Kambu Sub County (Ministry of Interior Office) 150 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.245420
