ward_name,constituency,latitude,longitude
Kilungu,Kaiti,-1.79348782376925,37.3767077050649
Ilima,Kaiti,-1.83100215638215,37.4254209426698
Muvau/Kikuumini,Makueni,-1.85926604691618,37.6532484593896
Lag Sure,Mandera West,3.56941621058049,40.2115331180229
Kiliwehiri,Banissa,3.94581056288997,40.1120073857895
Akirangondu,Igembe Central,0.332702731653507,37.8852578830792
Igembe East,Igembe Central,0.249888922534324,38.0231659581169
Kiirua/Naari,Buuri,0.162508788601957,37.5642866803838
Mwanganthia,Central Imenti,-0.0297750651306817,37.7640488124095
Ruiri/Rwarera,Buuri,0.2079,37.604486
Wasweta Ii,Suna West,-1.09816049098338,34.4092531678299
North Kanyamkago,Uriri,-0.876951320078963,34.4140877779121
Kachieng,Nyatike,-0.805685713890855,34.147983669713
Bukira Centrl/Ikerege,Kuria West,-1.19746167343993,34.5619468098664
Makerero,Kuria West,-1.23038065024566,34.5071615073151
Mji Wa Kale/Makadara,Mvita,-4.030626,39.680877
Kutulo,Mandera South,2.53323620523976,40.7964669740338
Kamahuha,Maragwa,-0.841372753827061,37.171695851944
Ngararia,Kandara,-0.936994394668878,37.0270203178372
Murindati,Gilgil,-0.462232073600528,36.3523303845172
Ziwa La Ngombe,Nyali,-4.02760018850171,39.7115329390429
Kanyenyaini,Kangema,-0.698628589248571,36.8817407417062
Shimanzi/Ganjoni,Mvita,-4.01714,39.623202
Maunarok,Njoro,-0.621253366016951,35.9880321362313
Lakeview,Naivasha,-0.747605625826946,36.4491387207839
Maiella,Naivasha,-0.781686485768169,36.2371961723085
Ilkerin,Emurua Dikirr,-1.04385980261575,35.099253712364
Tindiret,Tinderet,-0.0403190509824698,35.3651054554366
Ollessos,Nandi Hills,0.180692439601622,35.3068860372655
Majimoto/Naroosura,Narok South,-1.40317062790507,35.8204969736495
Ololulunga,Narok South,-0.953602922898647,35.6586471361133
Ilmotiok,Narok West,-0.96761313269822,35.5021167259684
Kemera,Kitutu Masaba,-0.675680239814331,34.8303873425735
Ilchamus,Baringo South,0.521663429654089,36.0478711600946
Olpusimoru,Narok North,-0.591458608541687,35.7580302971425
Kabuoch South/Pala,Ndhiwa,-0.714450746,34.48154372
Kanyaluo,Karachuonyo,-0.446442075443237,34.6254888890856
Kagan,Rangwe,-0.515748217845566,34.6029230838994
Kochia,Rangwe,-0.516150653084907,34.5388713906676
Homa Bay Central,Homa Bay Town,-0.595672326864395,34.4867630051049
Homa Bay Arujo,Homa Bay Town,-0.58865063386686,34.4629810955462
Kwabwai,Ndhiwa,-0.771723737947597,34.2727478679963
Kanyadoto,Ndhiwa,-0.790340584062004,34.3421297206343
Kanyikela,Ndhiwa,-0.792979096482148,34.3772857076885
Kanyamwa Kosewe,Ndhiwa,-0.700554811472161,34.3538828093722
KASGUNGA,SUBA NORTH,-0.470918229561864,34.2287288096009
Chavakali,Sabatia,0.110590488984573,34.7146302772726
Busali,Sabatia,0.139129764799409,34.7977482880515
Shiru,Hamisi,0.164728848043357,34.8800110360272
Gisambai,Hamisi,0.0546301599993987,34.768561319462
Muhudu,Hamisi,0.156577072590289,34.8355476617303
Tambua,Hamisi,0.0192120501852285,34.7789690106274
Luanda South,Luanda,-0.013341258229834,34.5694352617752
North East Bunyore,Emuhaya,0.0980084254767748,34.6526559189457
Banja,Hamisi,0.057550011537893,34.8220030320288
South Maragoli,Vihiga,0.00189473976834055,34.6911558588001
Shamakhokho,Hamisi,0.0975994345099919,34.8336578802611
CHEPTAIS,MT. ELGON,0.832666377552086,34.4476771157149
KAPTAMA,MT. ELGON,0.962680439130332,34.6085565188799
Malakisi/South Kulisiru,Sirisia,0.723756676396433,34.4857126336499
West Nalondo,Kabuchai,0.629511446261781,34.5773166312457
Mukuyuni,Kabuchai,0.758926650972878,34.6206455112824
Kabula,Bumula,0.480507335524811,34.5244197620424
Kimaeti,Bumula,0.603412673682741,34.4052704215559
Siboti,Bumula,0.648978680297746,34.4661962005924
Bukembe West,Kanduyi,0.577794598145602,34.6071466136816
Bokoli,Webuye West,0.675855014752369,34.6761536296817
Kibingei,Kimilili,0.775938043872517,34.6799093580452
Kimilili,Kimilili,0.751132961219076,34.7293712590555
Maeni,Kimilili,0.803101048395706,34.7481317340703
Kamukuywa,Kimilili,0.801352747975777,34.788402657006
Mbakalo,Tongaren,0.708228617472716,34.8583204190762
Naitiri/Kabuyefwe,Tongaren,0.764676375157667,34.9036407307261
Milima,Tongaren,0.774422357280958,34.8455743131814
Ndalu/ Tabani,Tongaren,0.849271466143245,34.9778515730318
Tongaren,Tongaren,0.792547956700108,34.9606675177643
Soysambu/ Mitua,Tongaren,0.780917018478301,35.0275235185079
Mautuma,Lugari,0.719141276088231,35.0047631228117
Lugari,Lugari,0.675865884148061,34.9260537835735
Lumakanda,Lugari,0.644315420646168,34.9906039379933
Chekalini,Lugari,0.623393091408421,34.9046797204811
Chevaywa,Lugari,0.527537876579653,34.7600160702023
Lwandeti,Lugari,0.60635873130974,34.8457936051597
Sango,Likuyani,0.733861280857172,35.0768746862459
Kongoni,Likuyani,0.774279343725746,35.1264555382519
Nzoia,Likuyani,0.823530496837175,35.0739084565818
Sinoko,Likuyani,0.868095956087692,35.0662212881259
West Kabras,Malava,0.414970179895417,34.7555895842113
Chemuche,Malava,0.436743446307369,34.8839920228666
East Kabras,Malava,0.397978542659639,34.9028059593762
Manda-Shivanga,Malava,0.532158791054892,34.8611040281347
South Kabras,Malava,0.374555646698904,34.8085357482502
Butsotso East,Lurambi,0.322991701003036,34.7459201854637
Butsotso South,Lurambi,0.232845243010818,34.6254049787868
Butsotso Central,Lurambi,0.275892787203713,34.6739069754566
Sheywe,Lurambi,0.29839921849163,34.7515522535311
Mahiakalo,Lurambi,0.294467379318407,34.776988430483
Shirere,Lurambi,0.263303894045712,34.7434944372157
Bunyala East,Navakholo,0.452132214977157,34.7060563705089
Mumias Central,Mumias West,0.326583491242524,34.4598028560312
Kipevu,Changamwe,-4.03748425964486,39.6307186362942
North Kadem,Nyatike,-0.907556349028038,34.2508628224361
Macalder/Kanyarwanda,Nyatike,-0.980458755378462,34.2655498395242
Kaler,Nyatike,-1.07460011102738,34.2345978240259
Got Kachola,Nyatike,-1.00709462995251,34.1887620402235
Muhuru,Nyatike,-1.02506376448341,34.1199597615197
Bukira East,Kuria West,-1.19764071045633,34.6129245118879
Isibania,Kuria West,-1.23793170364707,34.4783878134132
Airport,Changamwe,-4.0334157140816,39.6055814504286
Faza,Lamu East,-2.10360206059361,41.0718955702313
Kiunga,Lamu East,-1.80084403693345,41.3719801151612
Basuba,Lamu East,-1.83235554750485,41.031618432058
Hindi,Lamu West,-2.03489907287116,40.736450133381
SALA,LAFEY,-0.583961604550945,39.6128916336702
Hongwe,Lamu West,-2.38116837831181,40.6244252706758
East Wanga,Mumias East,0.347687060012157,34.5713133043242
Koyonzo,Matungu,0.368871217598997,34.4160350575201
Kholera,Matungu,0.42486776427201,34.5019384160603
Tagare,Kuria West,-1.16898030765608,34.4737616093369
Nyamosense/Komosoko,Kuria West,-1.18026949978294,34.4256844516995
Gokeharaka/Getambwega,Kuria East,-1.26089717628868,34.5634673544922
Ntimaru East,Kuria East,-1.31468255441857,34.6971999899276
Nyabasi East,Kuria East,-1.26390981597345,34.6682203491066
East Kamagambo,Rongo,-0.734868013469625,34.5728509329158
Kivaa,Masinga,-0.934452165789424,37.7652724333656
Masinga Central,Masinga,-0.980245205106851,37.6360651291755
Ekalakala,Masinga,-0.986728684094786,37.5130107862459
Muthesya,Masinga,-0.929801470669025,37.4017358179233
Ndalani,Yatta,-1.05994729474756,37.4598797903179
Matuu,Yatta,-1.13979787462636,37.5600657641511
Kithimani,Yatta,-1.16918466417032,37.4574338406945
Ikombe,Yatta,-1.27730418267571,37.622499817989
Katangi,Yatta,-1.42073269330848,37.7277076728302
Kangundo North,Kangundo,-1.29321611718668,37.378926670137
Kangundo Central,Kangundo,-1.31393223605341,37.345944182986
Kangundo East,Kangundo,-1.36151789153912,37.3828689452522
Kangundo West,Kangundo,-1.36074000050995,37.3236097553647
Matungulu North,Matungulu,-1.1442847294507,37.2890121261011
Matungulu East,Matungulu,-1.21256040190315,37.3423766170855
Matungulu West,Matungulu,-1.26736630530049,37.2100261858014
Kyeleni,Matungulu,-1.14989005344111,37.2102784219074
Kathiani Central,Kathiani,-1.41414563726775,37.3054823554003
